Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,50,50,B11_1,-0.05,0.018283,0.018408,0.00185,0.068283,136.57,0.070696,0.0606,0.5253,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B11_2,-0.06,0.016498,0.043678,0.00439,0.076498,127.5,0.08798,0.0707,0.7879,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B21_1,-0.87,-0.057062,0.084854,0.008528,0.812938,93.44,0.81731,0.0,0.6869,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B21_2,-0.77,-0.050251,0.097383,0.009787,0.719749,93.47,0.726241,0.0303,0.5455,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B22_1,-0.92,-0.159213,0.278771,0.028018,0.760787,82.69,0.809769,0.1212,0.6061,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B22_2,-0.45,-0.061634,0.139354,0.014006,0.388366,86.3,0.412373,0.1111,0.2424,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B31d_1,0.33,0.897568,0.162234,0.016305,0.567568,171.99,0.590074,0.051,0.9592,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B31d_2,0.15,0.859041,0.388941,0.03909,0.709041,472.69,0.807766,0.0606,0.9394,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B32d_1,0.31,0.800372,0.174985,0.017587,0.490372,158.18,0.520361,0.1414,0.9091,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B32d_2,0.69,0.953659,0.066843,0.006718,0.263659,38.21,0.271918,0.101,0.9293,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B41d_1,0.11,0.024317,0.135261,0.013594,-0.085683,-77.89,0.159538,0.2551,0.4184,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B41d_2,-0.3,-0.035669,0.180476,0.018139,0.264331,88.11,0.319552,0.0707,0.2323,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B42d_1,0.57,0.140509,0.161066,0.016188,-0.429491,-75.35,0.458413,0.1313,0.6364,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,B42d_2,0.01,0.008492,0.041896,0.004211,-0.001508,-15.08,0.041711,0.8889,0.1313,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
two_stage,50,50,Q1d_1,0.08,0.035003,0.017378,0.001747,-0.044997,-56.25,0.048204,1.0,0.0,99,-3.6731,0.5064,0.5418,0.6181,0.6858,0.5689,0.6299,0.5896,0.4577,0.5533,0.6639,0.7235,0.4996,0.8258,0.7273,0.7496,0.7496
